date,home_team,away_team,winning_team
2014-10-28,New Orleans Pelicans,Orlando Magic,0
2014-10-28,San Antonio Spurs,Dallas Mavericks,0
2014-10-28,Los Angeles Lakers,Houston Rockets,1
2014-10-29,Charlotte Hornets,Milwaukee Bucks,0
2014-10-29,Indiana Pacers,Philadelphia 76ers,0
2014-10-29,Toronto Raptors,Atlanta Hawks,0
2014-10-29,Miami Heat,Washington Wizards,0
2014-10-29,Boston Celtics,Brooklyn Nets,0
2014-10-29,New York Knicks,Chicago Bulls,1
2014-10-29,Memphis Grizzlies,Minnesota Timberwolves,0
2014-10-29,Denver Nuggets,Detroit Pistons,0
2014-10-29,Utah Jazz,Houston Rockets,1
2014-10-29,Phoenix Suns,Los Angeles Lakers,0
2014-10-29,Sacramento Kings,Golden State Warriors,1
2014-10-29,Portland Trail Blazers,Oklahoma City Thunder,0
2014-10-30,Orlando Magic,Washington Wizards,1
2014-10-30,Cleveland Cavaliers,New York Knicks,1
2014-10-30,Minnesota Timberwolves,Detroit Pistons,0
2014-10-30,Dallas Mavericks,Utah Jazz,0
2014-10-30,Los Angeles Clippers,Oklahoma City Thunder,0
2014-10-31,Indiana Pacers,Memphis Grizzlies,1
2014-10-31,Chicago Bulls,Cleveland Cavaliers,1
2014-10-31,Milwaukee Bucks,Philadelphia 76ers,0
2014-10-31,Phoenix Suns,San Antonio Spurs,0
2014-10-31,Sacramento Kings,Portland Trail Blazers,0
2014-10-31,Los Angeles Lakers,Los Angeles Clippers,1
2014-11-01,Charlotte Hornets,Memphis Grizzlies,1
2014-11-01,New Orleans Pelicans,Dallas Mavericks,1
2014-11-01,Orlando Magic,Toronto Raptors,1
2014-11-01,Philadelphia 76ers,Miami Heat,1
2014-11-01,Washington Wizards,Milwaukee Bucks,0
2014-11-01,Atlanta Hawks,Indiana Pacers,0
2014-11-01,Detroit Pistons,Brooklyn Nets,1
2014-11-01,Houston Rockets,Boston Celtics,0
2014-11-01,Minnesota Timberwolves,Chicago Bulls,1
2014-11-01,Oklahoma City Thunder,Denver Nuggets,0
2014-11-01,Utah Jazz,Phoenix Suns,0
2014-11-01,Golden State Warriors,Los Angeles Lakers,0
2014-11-02,Los Angeles Clippers,Sacramento Kings,1
2014-11-02,Miami Heat,Toronto Raptors,0
2014-11-02,New York Knicks,Charlotte Hornets,0
2014-11-02,Portland Trail Blazers,Golden State Warriors,1
2014-11-03,Philadelphia 76ers,Houston Rockets,1
2014-11-03,Brooklyn Nets,Oklahoma City Thunder,0
2014-11-03,Memphis Grizzlies,New Orleans Pelicans,0
2014-11-03,Dallas Mavericks,Boston Celtics,0
2014-11-03,Denver Nuggets,Sacramento Kings,1
2014-11-03,Los Angeles Clippers,Utah Jazz,0
2014-11-04,Indiana Pacers,Milwaukee Bucks,1
2014-11-04,Miami Heat,Houston Rockets,1
2014-11-04,New York Knicks,Washington Wizards,1
2014-11-04,Toronto Raptors,Oklahoma City Thunder,0
2014-11-04,Chicago Bulls,Orlando Magic,0
2014-11-04,New Orleans Pelicans,Charlotte Hornets,0
2014-11-04,Portland Trail Blazers,Cleveland Cavaliers,0
2014-11-04,Los Angeles Lakers,Phoenix Suns,1
2014-11-05,Charlotte Hornets,Miami Heat,0
2014-11-05,Philadelphia 76ers,Orlando Magic,1
2014-11-05,Boston Celtics,Toronto Raptors,1
2014-11-05,Brooklyn Nets,Minnesota Timberwolves,1
2014-11-05,Detroit Pistons,New York Knicks,0
2014-11-05,Milwaukee Bucks,Chicago Bulls,1
2014-11-05,Washington Wizards,Indiana Pacers,0
2014-11-05,San Antonio Spurs,Atlanta Hawks,0
2014-11-05,Phoenix Suns,Memphis Grizzlies,1
2014-11-05,Utah Jazz,Cleveland Cavaliers,0
2014-11-05,Sacramento Kings,Denver Nuggets,0
2014-11-05,Golden State Warriors,Los Angeles Clippers,0
2014-11-06,Houston Rockets,San Antonio Spurs,0
2014-11-06,Portland Trail Blazers,Dallas Mavericks,0
2014-11-07,Charlotte Hornets,Atlanta Hawks,0
2014-11-07,Orlando Magic,Minnesota Timberwolves,0
2014-11-07,Philadelphia 76ers,Chicago Bulls,1
2014-11-07,Boston Celtics,Indiana Pacers,0
2014-11-07,Brooklyn Nets,New York Knicks,0
2014-11-07,Detroit Pistons,Milwaukee Bucks,0
2014-11-07,Toronto Raptors,Washington Wizards,0
2014-11-07,Oklahoma City Thunder,Memphis Grizzlies,1
2014-11-07,Phoenix Suns,Sacramento Kings,1
2014-11-07,Utah Jazz,Dallas Mavericks,1
2014-11-07,Denver Nuggets,Cleveland Cavaliers,1
2014-11-08,Los Angeles Clippers,Portland Trail Blazers,0
2014-11-08,Indiana Pacers,Washington Wizards,1
2014-11-08,Atlanta Hawks,New York Knicks,0
2014-11-08,Miami Heat,Minnesota Timberwolves,0
2014-11-08,Chicago Bulls,Boston Celtics,1
2014-11-08,Houston Rockets,Golden State Warriors,1
2014-11-08,Milwaukee Bucks,Memphis Grizzlies,0
2014-11-08,San Antonio Spurs,New Orleans Pelicans,1
2014-11-09,Brooklyn Nets,Orlando Magic,0
2014-11-09,Detroit Pistons,Utah Jazz,1
2014-11-09,Oklahoma City Thunder,Sacramento Kings,0
2014-11-09,Toronto Raptors,Philadelphia 76ers,0
2014-11-09,Dallas Mavericks,Miami Heat,1
2014-11-09,Phoenix Suns,Golden State Warriors,0
2014-11-09,Portland Trail Blazers,Denver Nuggets,0
2014-11-09,Los Angeles Lakers,Charlotte Hornets,0
2014-11-10,Cleveland Cavaliers,New Orleans Pelicans,0
2014-11-10,Indiana Pacers,Utah Jazz,0
2014-11-10,New York Knicks,Atlanta Hawks,1
2014-11-10,Chicago Bulls,Detroit Pistons,0
2014-11-10,Los Angeles Clippers,San Antonio Spurs,1
2014-11-11,Toronto Raptors,Orlando Magic,0
2014-11-11,Memphis Grizzlies,Los Angeles Lakers,0
2014-11-11,Milwaukee Bucks,Oklahoma City Thunder,0
2014-11-11,Dallas Mavericks,Sacramento Kings,0
2014-11-11,Portland Trail Blazers,Charlotte Hornets,0
2014-11-11,Golden State Warriors,San Antonio Spurs,1
2014-11-12,Washington Wizards,Detroit Pistons,0
2014-11-12,Atlanta Hawks,Utah Jazz,0
2014-11-12,Boston Celtics,Oklahoma City Thunder,1
2014-11-12,Miami Heat,Indiana Pacers,1
2014-11-12,New York Knicks,Orlando Magic,1
2014-11-12,New Orleans Pelicans,Los Angeles Lakers,0
2014-11-12,Denver Nuggets,Portland Trail Blazers,1
2014-11-12,Phoenix Suns,Brooklyn Nets,0
2014-11-12,Minnesota Timberwolves,Houston Rockets,1
2014-11-13,Memphis Grizzlies,Sacramento Kings,0
2014-11-13,Toronto Raptors,Chicago Bulls,1
2014-11-13,Dallas Mavericks,Philadelphia 76ers,0
2014-11-13,Golden State Warriors,Brooklyn Nets,0
2014-11-14,Indiana Pacers,Denver Nuggets,1
2014-11-14,Orlando Magic,Milwaukee Bucks,0
2014-11-14,Atlanta Hawks,Miami Heat,0
2014-11-14,Boston Celtics,Cleveland Cavaliers,1
2014-11-14,New York Knicks,Utah Jazz,1
2014-11-14,Houston Rockets,Philadelphia 76ers,0
2014-11-14,New Orleans Pelicans,Minnesota Timberwolves,0
2014-11-14,Oklahoma City Thunder,Detroit Pistons,1
2014-11-14,Phoenix Suns,Charlotte Hornets,1
2014-11-14,Los Angeles Lakers,San Antonio Spurs,1
2014-11-15,Washington Wizards,Orlando Magic,0
2014-11-15,Cleveland Cavaliers,Atlanta Hawks,0
2014-11-15,Toronto Raptors,Utah Jazz,0
2014-11-15,Chicago Bulls,Indiana Pacers,1
2014-11-15,Memphis Grizzlies,Detroit Pistons,0
2014-11-15,Dallas Mavericks,Minnesota Timberwolves,0
2014-11-15,Portland Trail Blazers,Brooklyn Nets,0
2014-11-15,Sacramento Kings,San Antonio Spurs,0
2014-11-15,Golden State Warriors,Charlotte Hornets,0
2014-11-15,Los Angeles Clippers,Phoenix Suns,0
2014-11-16,New York Knicks,Denver Nuggets,0
2014-11-16,Miami Heat,Milwaukee Bucks,1
2014-11-16,Oklahoma City Thunder,Houston Rockets,1
2014-11-16,Los Angeles Lakers,Golden State Warriors,1
2014-11-17,Charlotte Hornets,Dallas Mavericks,1
2014-11-17,Cleveland Cavaliers,Denver Nuggets,1
2014-11-17,Boston Celtics,Phoenix Suns,1
2014-11-17,Brooklyn Nets,Miami Heat,1
2014-11-17,Detroit Pistons,Orlando Magic,1
2014-11-17,Memphis Grizzlies,Houston Rockets,0
2014-11-17,San Antonio Spurs,Philadelphia 76ers,0
2014-11-17,Portland Trail Blazers,New Orleans Pelicans,0
2014-11-17,Los Angeles Clippers,Chicago Bulls,1
2014-11-18,Atlanta Hawks,Los Angeles Lakers,1
2014-11-18,Milwaukee Bucks,New York Knicks,0
2014-11-18,Utah Jazz,Oklahoma City Thunder,0
2014-11-18,Sacramento Kings,New Orleans Pelicans,1
2014-11-19,Cleveland Cavaliers,San Antonio Spurs,1
2014-11-19,Indiana Pacers,Charlotte Hornets,0
2014-11-19,Orlando Magic,Los Angeles Clippers,1
2014-11-19,Philadelphia 76ers,Boston Celtics,1
2014-11-19,Washington Wizards,Dallas Mavericks,1
2014-11-19,Brooklyn Nets,Milwaukee Bucks,1
2014-11-19,Detroit Pistons,Phoenix Suns,1
2014-11-19,Toronto Raptors,Memphis Grizzlies,0
2014-11-19,Minnesota Timberwolves,New York Knicks,0
2014-11-19,Denver Nuggets,Oklahoma City Thunder,0
2014-11-19,Houston Rockets,Los Angeles Lakers,1
2014-11-20,Miami Heat,Los Angeles Clippers,1
2014-11-20,Sacramento Kings,Chicago Bulls,0
2014-11-21,Charlotte Hornets,Orlando Magic,1
2014-11-21,Philadelphia 76ers,Phoenix Suns,1
2014-11-21,Atlanta Hawks,Detroit Pistons,0
2014-11-21,Toronto Raptors,Milwaukee Bucks,0
2014-11-21,Memphis Grizzlies,Boston Celtics,0
2014-11-21,Minnesota Timberwolves,San Antonio Spurs,1
2014-11-21,Oklahoma City Thunder,Brooklyn Nets,1
2014-11-21,Washington Wizards,Cleveland Cavaliers,0
2014-11-21,Dallas Mavericks,Los Angeles Lakers,0
2014-11-21,Denver Nuggets,New Orleans Pelicans,0
2014-11-21,Golden State Warriors,Utah Jazz,0
2014-11-21,Portland Trail Blazers,Chicago Bulls,0
2014-11-22,Indiana Pacers,Phoenix Suns,1
2014-11-22,Orlando Magic,Miami Heat,1
2014-11-22,Cleveland Cavaliers,Toronto Raptors,1
2014-11-22,New York Knicks,Philadelphia 76ers,0
2014-11-22,Houston Rockets,Dallas Mavericks,0
2014-11-22,Minnesota Timberwolves,Sacramento Kings,1
2014-11-22,Milwaukee Bucks,Washington Wizards,1
2014-11-22,San Antonio Spurs,Brooklyn Nets,0
2014-11-22,Utah Jazz,New Orleans Pelicans,1
2014-11-23,Boston Celtics,Portland Trail Blazers,1
2014-11-23,Memphis Grizzlies,Los Angeles Clippers,0
2014-11-23,Miami Heat,Charlotte Hornets,0
2014-11-23,Oklahoma City Thunder,Golden State Warriors,1
2014-11-23,Los Angeles Lakers,Denver Nuggets,1
2014-11-24,Charlotte Hornets,Los Angeles Clippers,1
2014-11-24,Cleveland Cavaliers,Orlando Magic,0
2014-11-24,Philadelphia 76ers,Portland Trail Blazers,1
2014-11-24,Toronto Raptors,Phoenix Suns,0
2014-11-24,Houston Rockets,New York Knicks,0
2014-11-24,Dallas Mavericks,Indiana Pacers,1
2014-11-24,Utah Jazz,Chicago Bulls,1
2014-11-25,Washington Wizards,Atlanta Hawks,1
2014-11-25,Miami Heat,Golden State Warriors,1
2014-11-25,Milwaukee Bucks,Detroit Pistons,0
2014-11-25,New Orleans Pelicans,Sacramento Kings,1
2014-11-25,Denver Nuggets,Chicago Bulls,0
2014-11-26,Charlotte Hornets,Portland Trail Blazers,1
2014-11-26,Cleveland Cavaliers,Washington Wizards,0
2014-11-26,Orlando Magic,Golden State Warriors,1
2014-11-26,Philadelphia 76ers,Brooklyn Nets,1
2014-11-26,Atlanta Hawks,Toronto Raptors,1
2014-11-26,Dallas Mavericks,New York Knicks,0
2014-11-26,Detroit Pistons,Los Angeles Clippers,1
2014-11-26,Houston Rockets,Sacramento Kings,0
2014-11-26,Minnesota Timberwolves,Milwaukee Bucks,1
2014-11-26,Oklahoma City Thunder,Utah Jazz,0
2014-11-26,San Antonio Spurs,Indiana Pacers,0
2014-11-26,Phoenix Suns,Denver Nuggets,0
2014-11-26,Los Angeles Lakers,Memphis Grizzlies,1
2014-11-28,Boston Celtics,Chicago Bulls,1
2014-11-28,Charlotte Hornets,Golden State Warriors,1
2014-11-28,Atlanta Hawks,New Orleans Pelicans,0
2014-11-28,Detroit Pistons,Milwaukee Bucks,1
2014-11-28,Toronto Raptors,Dallas Mavericks,1
2014-11-28,Houston Rockets,Los Angeles Clippers,1
2014-11-28,Indiana Pacers,Orlando Magic,0
2014-11-28,Oklahoma City Thunder,New York Knicks,0
2014-11-28,San Antonio Spurs,Sacramento Kings,0
2014-11-28,Denver Nuggets,Phoenix Suns,0
2014-11-28,Portland Trail Blazers,Memphis Grizzlies,1
2014-11-28,Los Angeles Lakers,Minnesota Timberwolves,1
2014-11-29,Philadelphia 76ers,Dallas Mavericks,1
2014-11-29,Washington Wizards,New Orleans Pelicans,0
2014-11-29,Atlanta Hawks,Charlotte Hornets,0
2014-11-29,Cleveland Cavaliers,Indiana Pacers,0
2014-11-29,Milwaukee Bucks,Houston Rockets,1
2014-11-29,Utah Jazz,Los Angeles Clippers,1
2014-11-30,Boston Celtics,San Antonio Spurs,1
2014-11-30,Brooklyn Nets,Chicago Bulls,1
2014-11-30,Detroit Pistons,Golden State Warriors,1
2014-11-30,Sacramento Kings,Memphis Grizzlies,1
2014-11-30,New York Knicks,Miami Heat,1
2014-11-30,Phoenix Suns,Orlando Magic,1
2014-11-30,Portland Trail Blazers,Minnesota Timberwolves,0
2014-11-30,Los Angeles Lakers,Toronto Raptors,0
2014-12-01,Philadelphia 76ers,San Antonio Spurs,1
2014-12-01,Washington Wizards,Miami Heat,0
2014-12-01,Utah Jazz,Denver Nuggets,1
2014-12-01,Los Angeles Clippers,Minnesota Timberwolves,0
2014-12-02,Cleveland Cavaliers,Milwaukee Bucks,0
2014-12-02,Atlanta Hawks,Boston Celtics,0
2014-12-02,Detroit Pistons,Los Angeles Lakers,1
2014-12-02,New York Knicks,Brooklyn Nets,1
2014-12-02,Chicago Bulls,Dallas Mavericks,1
2014-12-02,New Orleans Pelicans,Oklahoma City Thunder,0
2014-12-02,Denver Nuggets,Portland Trail Blazers,1
2014-12-02,Phoenix Suns,Indiana Pacers,0
2014-12-02,Sacramento Kings,Toronto Raptors,1
2014-12-02,Golden State Warriors,Orlando Magic,0
2014-12-03,Charlotte Hornets,Chicago Bulls,1
2014-12-03,Washington Wizards,Los Angeles Lakers,0
2014-12-03,Boston Celtics,Detroit Pistons,0
2014-12-03,Brooklyn Nets,San Antonio Spurs,0
2014-12-03,Miami Heat,Atlanta Hawks,1
2014-12-03,Houston Rockets,Memphis Grizzlies,0
2014-12-03,Milwaukee Bucks,Dallas Mavericks,1
2014-12-03,Minnesota Timberwolves,Philadelphia 76ers,1
2014-12-03,Utah Jazz,Toronto Raptors,1
2014-12-03,Los Angeles Clippers,Orlando Magic,0
2014-12-04,New York Knicks,Cleveland Cavaliers,1
2014-12-04,Portland Trail Blazers,Indiana Pacers,0
2014-12-04,Golden State Warriors,New Orleans Pelicans,0
2014-12-05,Charlotte Hornets,New York Knicks,0
2014-12-05,Philadelphia 76ers,Oklahoma City Thunder,1
2014-12-05,Washington Wizards,Denver Nuggets,0
2014-12-05,Boston Celtics,Los Angeles Lakers,0
2014-12-05,Brooklyn Nets,Atlanta Hawks,1
2014-12-05,Toronto Raptors,Cleveland Cavaliers,1
2014-12-05,Memphis Grizzlies,San Antonio Spurs,1
2014-12-05,Minnesota Timberwolves,Houston Rockets,1
2014-12-05,Dallas Mavericks,Phoenix Suns,1
2014-12-05,Milwaukee Bucks,Miami Heat,0
2014-12-05,Utah Jazz,Orlando Magic,1
2014-12-05,Sacramento Kings,Indiana Pacers,0
2014-12-06,Detroit Pistons,Philadelphia 76ers,1
2014-12-06,Chicago Bulls,Golden State Warriors,1
2014-12-06,Houston Rockets,Phoenix Suns,0
2014-12-06,San Antonio Spurs,Minnesota Timberwolves,0
2014-12-06,Sacramento Kings,Orlando Magic,1
2014-12-06,Los Angeles Clippers,New Orleans Pelicans,0
2014-12-07,Boston Celtics,Washington Wizards,0
2014-12-07,Atlanta Hawks,Denver Nuggets,0
2014-12-07,Detroit Pistons,Oklahoma City Thunder,1
2014-12-07,Memphis Grizzlies,Miami Heat,0
2014-12-07,Dallas Mavericks,Milwaukee Bucks,0
2014-12-07,New York Knicks,Portland Trail Blazers,1
2014-12-07,Los Angeles Lakers,New Orleans Pelicans,1
2014-12-08,Indiana Pacers,Atlanta Hawks,1
2014-12-08,Washington Wizards,Boston Celtics,0
2014-12-08,Brooklyn Nets,Cleveland Cavaliers,1
2014-12-08,Toronto Raptors,Denver Nuggets,0
2014-12-08,Minnesota Timberwolves,Golden State Warriors,1
2014-12-08,Sacramento Kings,Utah Jazz,0
2014-12-08,Los Angeles Clippers,Phoenix Suns,0
2014-12-09,Cleveland Cavaliers,Toronto Raptors,0
2014-12-09,Detroit Pistons,Portland Trail Blazers,1
2014-12-09,Memphis Grizzlies,Dallas Mavericks,0
2014-12-09,New Orleans Pelicans,New York Knicks,0
2014-12-09,Oklahoma City Thunder,Milwaukee Bucks,0
2014-12-09,Phoenix Suns,Miami Heat,1
2014-12-09,Utah Jazz,San Antonio Spurs,0
2014-12-09,Los Angeles Lakers,Sacramento Kings,0
2014-12-10,Charlotte Hornets,Boston Celtics,0
2014-12-10,Indiana Pacers,Los Angeles Clippers,1
2014-12-10,Orlando Magic,Washington Wizards,1
2014-12-10,Atlanta Hawks,Philadelphia 76ers,0
2014-12-10,Chicago Bulls,Brooklyn Nets,0
2014-12-10,Dallas Mavericks,New Orleans Pelicans,0
2014-12-10,Minnesota Timberwolves,Portland Trail Blazers,0
2014-12-10,San Antonio Spurs,New York Knicks,0
2014-12-10,Denver Nuggets,Miami Heat,0
2014-12-10,Golden State Warriors,Houston Rockets,0
2014-12-11,Oklahoma City Thunder,Cleveland Cavaliers,0
2014-12-11,Sacramento Kings,Houston Rockets,1
2014-12-12,Chicago Bulls,Portland Trail Blazers,0
2014-12-12,Washington Wizards,Los Angeles Clippers,0
2014-12-12,Atlanta Hawks,Orlando Magic,0
2014-12-12,Boston Celtics,New York Knicks,1
2014-12-12,Brooklyn Nets,Philadelphia 76ers,0
2014-12-12,Toronto Raptors,Indiana Pacers,0
2014-12-12,Memphis Grizzlies,Charlotte Hornets,0
2014-12-12,Minnesota Timberwolves,Oklahoma City Thunder,1
2014-12-12,New Orleans Pelicans,Cleveland Cavaliers,0
2014-12-12,Phoenix Suns,Detroit Pistons,1
2014-12-12,Utah Jazz,Miami Heat,1
2014-12-12,San Antonio Spurs,Los Angeles Lakers,1
2014-12-13,Dallas Mavericks,Golden State Warriors,1
2014-12-13,Charlotte Hornets,Brooklyn Nets,1
2014-12-13,Indiana Pacers,Portland Trail Blazers,1
2014-12-13,Orlando Magic,Atlanta Hawks,0
2014-12-13,Milwaukee Bucks,Los Angeles Clippers,0
2014-12-13,Philadelphia 76ers,Memphis Grizzlies,1
2014-12-13,Houston Rockets,Denver Nuggets,0
2014-12-13,Sacramento Kings,Detroit Pistons,1
2014-12-14,Miami Heat,Chicago Bulls,1
2014-12-14,New Orleans Pelicans,Golden State Warriors,1
2014-12-14,Washington Wizards,Utah Jazz,0
2014-12-14,Minnesota Timberwolves,Los Angeles Lakers,1
2014-12-14,Oklahoma City Thunder,Phoenix Suns,0
2014-12-14,New York Knicks,Toronto Raptors,1
2014-12-14,Denver Nuggets,San Antonio Spurs,1
2014-12-15,Cleveland Cavaliers,Charlotte Hornets,0
2014-12-15,Indiana Pacers,Los Angeles Lakers,0
2014-12-15,Philadelphia 76ers,Boston Celtics,1
2014-12-15,Atlanta Hawks,Chicago Bulls,0
2014-12-15,Toronto Raptors,Orlando Magic,0
2014-12-15,Phoenix Suns,Milwaukee Bucks,1
2014-12-15,Portland Trail Blazers,San Antonio Spurs,0
2014-12-15,Los Angeles Clippers,Detroit Pistons,0
2014-12-16,Washington Wizards,Minnesota Timberwolves,0
2014-12-16,Brooklyn Nets,Miami Heat,1
2014-12-16,Memphis Grizzlies,Golden State Warriors,0
2014-12-16,New Orleans Pelicans,Utah Jazz,0
2014-12-16,New York Knicks,Dallas Mavericks,1
2014-12-16,Sacramento Kings,Oklahoma City Thunder,1
2014-12-17,Charlotte Hornets,Phoenix Suns,1
2014-12-17,Cleveland Cavaliers,Atlanta Hawks,1
2014-12-17,Boston Celtics,Orlando Magic,0
2014-12-17,Detroit Pistons,Dallas Mavericks,1
2014-12-17,Miami Heat,Utah Jazz,1
2014-12-17,Toronto Raptors,Brooklyn Nets,0
2014-12-17,San Antonio Spurs,Memphis Grizzlies,1
2014-12-17,Portland Trail Blazers,Milwaukee Bucks,0
2014-12-17,Denver Nuggets,Houston Rockets,1
2014-12-17,Los Angeles Clippers,Indiana Pacers,0
2014-12-18,Chicago Bulls,New York Knicks,0
2014-12-18,Houston Rockets,New Orleans Pelicans,1
2014-12-18,Sacramento Kings,Milwaukee Bucks,1
2014-12-18,Golden State Warriors,Oklahoma City Thunder,0
2014-12-19,Orlando Magic,Utah Jazz,1
2014-12-19,Philadelphia 76ers,Charlotte Hornets,1
2014-12-19,Boston Celtics,Minnesota Timberwolves,0
2014-12-19,Cleveland Cavaliers,Brooklyn Nets,0
2014-12-19,Detroit Pistons,Toronto Raptors,1
2014-12-19,Miami Heat,Washington Wizards,1
2014-12-19,Memphis Grizzlies,Chicago Bulls,1
2014-12-19,San Antonio Spurs,Portland Trail Blazers,1
2014-12-19,Denver Nuggets,Los Angeles Clippers,0
2014-12-19,Los Angeles Lakers,Oklahoma City Thunder,1
2014-12-20,New York Knicks,Phoenix Suns,1
2014-12-20,Charlotte Hornets,Utah Jazz,0
2014-12-20,New Orleans Pelicans,Portland Trail Blazers,1
2014-12-20,Houston Rockets,Atlanta Hawks,1
2014-12-20,Dallas Mavericks,San Antonio Spurs,0
2014-12-20,Denver Nuggets,Indiana Pacers,0
2014-12-20,Los Angeles Clippers,Milwaukee Bucks,0
2014-12-21,Toronto Raptors,New York Knicks,0
2014-12-21,Cleveland Cavaliers,Memphis Grizzlies,0
2014-12-21,Brooklyn Nets,Detroit Pistons,0
2014-12-21,Miami Heat,Boston Celtics,0
2014-12-21,Orlando Magic,Philadelphia 76ers,1
2014-12-21,Sacramento Kings,Los Angeles Lakers,0
2014-12-21,Washington Wizards,Phoenix Suns,1
2014-12-21,Minnesota Timberwolves,Indiana Pacers,1
2014-12-21,Oklahoma City Thunder,New Orleans Pelicans,1
2014-12-22,Charlotte Hornets,Denver Nuggets,0
2014-12-22,Chicago Bulls,Toronto Raptors,0
2014-12-22,Houston Rockets,Portland Trail Blazers,0
2014-12-22,Memphis Grizzlies,Utah Jazz,1
2014-12-22,Dallas Mavericks,Atlanta Hawks,1
2014-12-22,San Antonio Spurs,Los Angeles Clippers,0
2014-12-22,Golden State Warriors,Sacramento Kings,0
2014-12-23,Cleveland Cavaliers,Minnesota Timberwolves,0
2014-12-23,Indiana Pacers,New Orleans Pelicans,0
2014-12-23,Orlando Magic,Boston Celtics,0
2014-12-23,Washington Wizards,Chicago Bulls,1
2014-12-23,Atlanta Hawks,Los Angeles Clippers,0
2014-12-23,Brooklyn Nets,Denver Nuggets,0
2014-12-23,Miami Heat,Philadelphia 76ers,1
2014-12-23,Milwaukee Bucks,Charlotte Hornets,1
2014-12-23,Oklahoma City Thunder,Portland Trail Blazers,1
2014-12-23,Phoenix Suns,Dallas Mavericks,0
2014-12-23,Los Angeles Lakers,Golden State Warriors,0
2014-12-25,New York Knicks,Washington Wizards,1
2014-12-25,San Antonio Spurs,Oklahoma City Thunder,1
2014-12-25,Miami Heat,Cleveland Cavaliers,0
2014-12-25,Chicago Bulls,Los Angeles Lakers,0
2014-12-25,Los Angeles Clippers,Golden State Warriors,0
2014-12-26,Boston Celtics,Brooklyn Nets,1
2014-12-26,Orlando Magic,Cleveland Cavaliers,1
2014-12-26,Atlanta Hawks,Milwaukee Bucks,1
2014-12-26,Detroit Pistons,Indiana Pacers,0
2014-12-26,Memphis Grizzlies,Houston Rockets,1
2014-12-26,New Orleans Pelicans,San Antonio Spurs,0
2014-12-26,Oklahoma City Thunder,Charlotte Hornets,0
2014-12-26,Dallas Mavericks,Los Angeles Lakers,0
2014-12-26,Denver Nuggets,Minnesota Timberwolves,0
2014-12-26,Portland Trail Blazers,Philadelphia 76ers,0
2014-12-26,Sacramento Kings,Phoenix Suns,1
2014-12-27,Los Angeles Clippers,Toronto Raptors,1
2014-12-27,Charlotte Hornets,Orlando Magic,1
2014-12-27,Washington Wizards,Boston Celtics,0
2014-12-27,Miami Heat,Memphis Grizzlies,1
2014-12-27,Brooklyn Nets,Indiana Pacers,1
2014-12-27,Chicago Bulls,New Orleans Pelicans,0
2014-12-27,Milwaukee Bucks,Atlanta Hawks,1
2014-12-27,Utah Jazz,Philadelphia 76ers,0
2014-12-27,Sacramento Kings,New York Knicks,0
2014-12-27,Golden State Warriors,Minnesota Timberwolves,0
2014-12-28,Cleveland Cavaliers,Detroit Pistons,1
2014-12-28,San Antonio Spurs,Houston Rockets,0
2014-12-28,Dallas Mavericks,Oklahoma City Thunder,0
2014-12-28,Denver Nuggets,Toronto Raptors,1
2014-12-28,Portland Trail Blazers,New York Knicks,0
2014-12-28,Los Angeles Lakers,Phoenix Suns,1
2014-12-29,Charlotte Hornets,Milwaukee Bucks,1
2014-12-29,Indiana Pacers,Chicago Bulls,1
2014-12-29,Brooklyn Nets,Sacramento Kings,0
2014-12-29,Miami Heat,Orlando Magic,1
2014-12-29,Houston Rockets,Washington Wizards,1
2014-12-29,Los Angeles Clippers,Utah Jazz,0
2014-12-30,Orlando Magic,Detroit Pistons,1
2014-12-30,Atlanta Hawks,Cleveland Cavaliers,0
2014-12-30,Chicago Bulls,Brooklyn Nets,1
2014-12-30,Memphis Grizzlies,San Antonio Spurs,0
2014-12-30,New Orleans Pelicans,Phoenix Suns,0
2014-12-30,Dallas Mavericks,Washington Wizards,0
2014-12-30,Denver Nuggets,Los Angeles Lakers,1
2014-12-30,Utah Jazz,Minnesota Timberwolves,0
2014-12-30,Portland Trail Blazers,Toronto Raptors,0
2014-12-30,Golden State Warriors,Philadelphia 76ers,0
2014-12-31,Boston Celtics,Sacramento Kings,0
2014-12-31,Indiana Pacers,Miami Heat,0
2014-12-31,Los Angeles Clippers,New York Knicks,0
2014-12-31,Cleveland Cavaliers,Milwaukee Bucks,1
2014-12-31,Houston Rockets,Charlotte Hornets,0
2014-12-31,San Antonio Spurs,New Orleans Pelicans,0
2014-12-31,Oklahoma City Thunder,Phoenix Suns,0
2015-01-01,Chicago Bulls,Denver Nuggets,0
2015-01-01,Minnesota Timberwolves,Sacramento Kings,1
2015-01-02,Charlotte Hornets,Cleveland Cavaliers,1
2015-01-02,Orlando Magic,Brooklyn Nets,1
2015-01-02,Boston Celtics,Dallas Mavericks,1
2015-01-02,New York Knicks,Detroit Pistons,1
2015-01-02,New Orleans Pelicans,Houston Rockets,0
2015-01-02,Oklahoma City Thunder,Washington Wizards,0
2015-01-02,Milwaukee Bucks,Indiana Pacers,1
2015-01-02,Phoenix Suns,Philadelphia 76ers,0
2015-01-02,Utah Jazz,Atlanta Hawks,1
2015-01-02,Golden State Warriors,Toronto Raptors,0
2015-01-02,Los Angeles Lakers,Memphis Grizzlies,1
2015-01-03,Orlando Magic,Charlotte Hornets,1
